order_id,customer_id,product,amount,order_date
101,7,Mouse,41868,2024-01-03
102,6,Laptop,22159,2023-08-06
103,34,Webcam,48877,2024-01-13
104,55,SSD,933,2023-07-28
105,89,Monitor,36055,2023-06-19
106,75,SSD,10005,2024-01-07
107,40,Tablet,59215,2023-06-21
108,27,Desk,44008,2023-07-23
109,72,Backpack,40975,2023-08-19
110,104,Webcam,52721,2023-08-30
111,4,Webcam,48571,2023-11-18
112,53,Desk,17785,2023-08-21
113,14,Charger,57458,2023-06-20
114,29,Chair,53815,2024-01-22
115,30,Desk,1850,2023-09-07
116,36,Mouse,50980,2023-10-21
117,66,Charger,44832,2024-03-01
118,4,Keyboard,57777,2023-10-12
119,34,Headphones,7404,2024-01-09
120,41,Backpack,40028,2024-02-17
121,74,Chair,16993,2023-06-23
122,1,HDD,53155,2024-03-02
123,95,Chair,24169,2024-01-07
124,86,Speaker,41139,2023-11-08
125,16,Router,33534,2023-11-06
126,42,Charger,45992,2023-10-30
127,25,Backpack,43876,2023-12-12
128,23,Lamp,37596,2023-11-02
129,1,Router,19103,2023-09-16
130,75,Lamp,43206,2023-11-12
131,57,Chair,33800,2024-01-29
132,95,Webcam,43478,2023-07-14
133,85,Lamp,22266,2023-07-18
134,97,Desk,44392,2023-11-06
135,26,Monitor,1900,2023-06-24
136,61,Lamp,55988,2023-07-08
137,81,Monitor Stand,13042,2023-12-14
138,32,Monitor,43295,2023-06-03
139,99,Keyboard,51314,2024-01-04
140,90,HDD,30744,2023-06-26
141,16,Mousepad,9038,2024-01-24
142,72,Lamp,21094,2024-01-13
143,93,HDD,28266,2024-03-07
144,21,Pendrive,29795,2023-10-11
145,82,Printer,50488,2024-02-22
146,31,Printer,29127,2023-07-10
147,31,Printer,22310,2023-11-11
148,11,Monitor,10184,2023-09-27
149,20,Chair,4509,2023-12-30
150,70,Mousepad,27548,2023-07-02
151,54,Charger,59599,2024-03-26
152,101,Monitor Stand,25228,2024-01-31
153,46,Router,49679,2023-12-17
154,54,SSD,49289,2024-03-06
155,29,Pendrive,14680,2023-10-18
156,4,Charger,22328,2023-12-25
157,60,Monitor,41080,2024-02-29
158,51,Monitor Stand,37287,2023-06-14
159,55,Monitor,57109,2024-01-23
160,34,Charger,21753,2023-09-17
161,44,Charger,18535,2024-01-02
162,11,Pendrive,1570,2024-03-03
163,45,Desk,42907,2023-07-06
164,84,Headphones,49729,2023-06-16
165,104,Laptop,41019,2023-08-18
166,61,Keyboard,37260,2023-09-20
167,33,Tablet,11296,2023-07-29
168,21,Router,7384,2024-03-23
169,40,Monitor Stand,44690,2023-12-10
170,92,Chair,5280,2024-03-30
171,81,Desk,6978,2023-11-02
172,77,Keyboard,52481,2024-03-16
173,45,SSD,28374,2023-12-07
174,83,Speaker,1129,2024-01-02
175,14,Backpack,24036,2024-01-22
176,56,Webcam,48390,2024-02-23
177,105,Lamp,53266,2024-03-02
178,60,Backpack,54415,2024-03-30
179,32,Mouse,18579,2024-01-17
180,60,Monitor Stand,40298,2023-12-12
181,64,Speaker,12217,2024-02-05
182,34,Speaker,18627,2023-10-20
183,67,Chair,5910,2023-10-02
184,63,SSD,49987,2023-10-02
185,83,Pendrive,29671,2023-06-09
186,29,Charger,45636,2023-10-03
187,75,Tablet,31315,2024-03-10
188,55,SSD,21978,2023-11-28
189,35,Router,16775,2023-09-27
190,25,Speaker,8135,2024-03-01
191,103,Chair,14480,2024-02-03
192,76,HDD,39411,2023-10-23
193,104,Router,15208,2023-12-02
194,2,SSD,8595,2023-10-19
195,7,SSD,19445,2023-08-04
196,97,Pendrive,7023,2023-06-07
197,61,Pendrive,29166,2023-11-22
198,7,Printer,56773,2024-01-31
199,9,Charger,32527,2023-07-08
200,88,Headphones,10243,2023-08-16
